sqrts_GeV,centrality,Tch_GCER_MeV,Tch_GCER_syst,Tch_GCEY_MeV,Tch_GCEY_syst,muB_GCER_MeV,muB_GCER_syst,muB_GCEY_MeV,muB_GCEY_syst,muS_GCER_MeV,muS_GCER_syst,muS_GCEY_MeV,muS_GCEY_syst,gammaS_GCER,gammaS_GCER_syst,gammaS_GCEY,gammaS_GCEY_syst,R_GCEY_fm,R_GCEY_syst,chi2ndf_GCER,chi2ndf_GCEY,interpolated
39.0,30-40,160.8,6.0,164.8,3.6,94.2,6.9,95.8,10.3,24.0,3.7,24.7,6.9,0.87,0.09,0.9,0.05,3.99,0.24,0.5,0.9,False
39.0,40-60,160.0,5.9,163.5,3.5,84.6,6.6,86.8,9.9,21.9,3.6,23.2,6.7,0.82,0.08,0.83,0.04,3.29,0.19,0.4,1.1,False
39.0,60-80,158.3,5.9,160.4,3.4,73.0,6.5,71.9,10.0,20.3,3.5,20.3,6.5,0.67,0.07,0.67,0.03,2.41,0.14,0.3,1.1,False
62.4,00-05,160.3,4.9,164.3,3.6,69.8,5.6,69.2,11.4,16.7,3.3,15.8,6.8,0.86,0.06,0.91,0.05,6.62,0.36,2.1,3.7,False
62.4,05-10,158.4,4.4,160.0,3.2,66.1,5.3,63.8,9.9,15.7,3.4,16.1,6.8,0.87,0.06,0.91,0.05,6.62,0.34,1.7,2.9,False
62.4,10-20,159.0,4.3,161.4,3.1,65.4,5.2,63.7,9.3,15.4,3.3,13.6,6.3,0.84,0.06,0.92,0.05,5.84,0.29,1.8,3.4,False
62.4,20-40,159.8,4.2,161.7,2.9,60.7,5.2,58.9,9.1,15.3,3.2,13.7,6.3,0.84,0.06,0.91,0.05,4.86,0.24,2.1,3.1,False
62.4,40-60,158.1,4.3,160.1,2.8,54.1,5.2,53.7,8.0,12.1,3.2,10.1,6.3,0.76,0.06,0.84,0.04,3.72,0.19,1.8,3.8,False
62.4,60-80,157.4,4.2,161.7,2.9,44.6,5.9,45.4,8.3,10.3,3.2,11.5,6.2,0.69,0.05,0.74,0.04,2.49,0.13,1.6,4.1,False
200.0,00-05,164.3,5.3,167.8,4.2,28.4,5.8,27.0,11.4,5.6,3.9,5.6,8.3,0.93,0.08,0.95,0.06,7.13,0.46,1.2,2.7,False
200.0,05-10,163.5,4.9,168.5,4.0,28.4,5.5,25.7,10.9,5.0,3.6,4.2,7.5,0.95,0.08,0.97,0.05,6.5,0.41,1.4,2.9,False
200.0,10-20,162.4,4.4,167.8,3.8,27.7,5.1,23.2,10.2,5.9,3.2,3.0,6.8,0.94,0.07,0.99,0.05,5.91,0.35,2.0,3.9,False
200.0,20-30,163.9,4.3,167.5,3.5,27.4,4.9,23.3,9.5,6.4,2.9,4.1,5.8,0.9,0.06,0.95,0.04,5.28,0.29,1.8,3.4,False
200.0,30-40,161.6,3.9,165.9,3.5,23.9,4.8,21.5,9.7,6.0,3.1,5.6,6.3,0.9,0.06,0.93,0.04,4.73,0.26,1.9,3.2,False
200.0,40-60,162.3,3.9,165.8,3.3,22.9,4.9,21.3,9.2,5.8,3.2,4.8,6.6,0.84,0.06,0.88,0.04,3.85,0.21,1.2,2.0,False
200.0,60-80,161.3,3.8,163.6,3.2,18.2,4.5,18.0,8.9,5.4,3.3,6.3,6.1,0.76,0.05,0.76,0.03,2.81,0.14,0.7,1.1,False
